Manufacturer,Model,Year,Category,Mileage,FuelType,EngineVolume,DriveWheels,GearBox,Doors,Wheel,Color,LeatherInterior,Price,Clearance
BMW,428,2014,Cabriolet,140000.0,Petrol,2.0,Rear,Tiptronic,2/3,Left wheel,White,True,15500,True
MERCEDES-BENZ,GLE 63 AMG,2018,Jeep,23000.0,Petrol,5.5,4x4,Tiptronic,4/5,Left wheel,Black,True,73000,True
PORSCHE,Panamera,2010,Sedan,57000.0,Petrol,4.8,Rear,Tiptronic,4/5,Left wheel,White,True,24000,True
LEXUS,CT 200h,2012,Hatchback,137600.0,Hybrid,1.8,Front,Variator,4/5,Left wheel,Grey,True,7800,True
FORD,Transit,2001,Microbus,430003.0,Diesel,2.4,Rear,Manual,4/5,Left wheel,White,False,3200,True
HONDA,FIT,2013,Hatchback,88000.0,Petrol,1.5,Front,Manual,4/5,Left wheel,Silver,False,4100,False
SCION,xD,2012,Sedan,72000.0,Petrol,1.8,Front,Automatic,4/5,Left wheel,Brown,False,5500,True
KIA,Optima,2014,Sedan,172000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Black,False,6200,True
HYUNDAI,Elantra,2016,Sedan,55000.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,Black,False,7800,False
TOYOTA,Prius,2010,Sedan,116000.0,Hybrid,1.8,Front,Variator,>5,Left wheel,Silver,True,5900,True
CHEVROLET,Cruze,2013,Sedan,112000.0,Petrol,1.4,Front,Tiptronic,4/5,Left wheel,Black,False,4400,False
VOLKSWAGEN,Passat,2012,Sedan,109000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Black,True,4902,True
BMW,X6,2010,Jeep,165000.0,Petrol,3.5,4x4,Tiptronic,4/5,Left wheel,Black,True,16000,True
PORSCHE,Cayenne,2013,Jeep,80000.0,Petrol,3.6,4x4,Tiptronic,4/5,Left wheel,Black,True,21000,True
BMW,750,2016,Sedan,47000.0,Petrol,4.4,4x4,Tiptronic,4/5,Left wheel,Black,True,42000,False
HYUNDAI,Santa FE,2016,Jeep,54000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Grey,False,12900,False
HYUNDAI,Santa FE,2012,Jeep,54000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,White,True,10900,False
TOYOTA,Prius,2010,Hatchback,128000.0,Hybrid,1.8,Front,Automatic,4/5,Left wheel,White,True,4800,False
LAND ROVER,Land Rover Sport,2012,Jeep,186000.0,Petrol,5.0,4x4,Tiptronic,4/5,Left wheel,Black,True,19500,True
MERCEDES-BENZ,Sprinter,2010,Microbus,153856.0,Diesel,2.2,Rear,Manual,4/5,Left wheel,Grey,False,8500,False
LEXUS,LX 570,2014,Jeep,125896.0,Petrol,5.7,4x4,Tiptronic,4/5,Left wheel,Black,True,19000,True
LAND ROVER,Range Rover,2011,Jeep,140000.0,Diesel,3.0,4x4,Tiptronic,4/5,Left wheel,Black,True,20000,True
TOYOTA,Camry,2012,Sedan,99000.0,Hybrid,2.5,Front,Automatic,4/5,Left wheel,Silver,False,8000,False
KIA,Optima,2013,Sedan,109000.0,Hybrid,2.4,Front,Automatic,4/5,Left wheel,White,True,6900,False
TOYOTA,Vitz,2014,Hatchback,100000.0,Petrol,1.0,Front,Automatic,4/5,Right-hand drive,White,False,3500,False
FORD,Transit,2011,Goods wagon,165852.0,Diesel,2.2,Front,Manual,4/5,Left wheel,White,False,4500,False
LEXUS,HS 250h,2010,Sedan,79000.0,Petrol,2.5,Front,Automatic,4/5,Left wheel,Grey,True,7700,True
TOYOTA,CHR,2018,Jeep,27500.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,White,False,13500,False
HYUNDAI,Sonata Hv,2016,Sedan,131200.0,Hybrid,2.0,Front,Tiptronic,4/5,Left wheel,Silver,True,8999,False
MITSUBISHI,Outlander Sport,2013,Jeep,60800.0,Petrol,2.0,4x4,Variator,4/5,Left wheel,Black,False,7500,True
MERCEDES-BENZ,C 400,2015,Sedan,114000.0,Petrol,3.0,4x4,Tiptronic,4/5,Left wheel,Grey,True,21900,True
CHEVROLET,Volt,2011,Sedan,114000.0,Plug-in Hybrid,1.4,Front,Automatic,4/5,Left wheel,Red,True,5200,False
NISSAN,Serena,2005,Minivan,117000.0,Petrol,2.0,Front,Automatic,4/5,Right-hand drive,Black,True,2900,True
VOLVO,XC90,2012,Jeep,143000.0,Petrol,3.2,4x4,Automatic,4/5,Left wheel,Blue,True,6900,False
MAZDA,Mazda 3,2011,Sedan,135000.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,Silver,False,2500,True
FORD,Fiesta SE,2014,Hatchback,134400.0,Petrol,1.6,Front,Automatic,4/5,Left wheel,Grey,False,4400,False
FORD,Fusion,2012,Sedan,137103.0,LPG,2.5,Front,Tiptronic,4/5,Left wheel,Silver,False,5700,True
HYUNDAI,Sonata,2015,Sedan,82000.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Red,False,5800,False
LAND ROVER,Range Rover Evoque 2.0,2015,Jeep,42450.0,Petrol,2.0,4x4,Tiptronic,4/5,Left wheel,Grey,True,14000,True
KIA,Optima,2012,Sedan,136700.0,Hybrid,2.4,Front,Tiptronic,4/5,Left wheel,Purple,False,4527,False
TOYOTA,Aqua,2014,Hatchback,114000.0,Petrol,1.5,Front,Automatic,4/5,Right-hand drive,Black,False,3300,False
HONDA,FIT,2014,Hatchback,114000.0,Hybrid,1.5,4x4,Automatic,4/5,Right-hand drive,Silver,False,3500,False
TOYOTA,Aqua,2013,Hatchback,65000.0,Hybrid,1.5,Front,Automatic,4/5,Right-hand drive,Black,False,3300,False
TOYOTA,Prius,2011,Sedan,20000.0,Hybrid,1.8,Front,Automatic,4/5,Left wheel,Blue,False,4000,False
TOYOTA,Prius,2010,Sedan,165000.0,Hybrid,1.8,Front,Automatic,4/5,Left wheel,Black,False,4900,False
NISSAN,Note,2005,Hatchback,210000.0,Petrol,1.5,Front,Automatic,4/5,Left wheel,Black,False,2400,True
CHEVROLET,Volt,2012,Hatchback,117000.0,Petrol,1.4,Front,Automatic,4/5,Left wheel,Red,True,6900,True
CHEVROLET,Volt premier,2012,Sedan,116000.0,Plug-in Hybrid,1.4,Front,Automatic,4/5,Left wheel,Red,True,6900,True
NISSAN,Versa Note,2014,Hatchback,116000.0,Petrol,1.6,Front,Variator,4/5,Left wheel,Beige,False,5100,True
TOYOTA,Land Cruiser,2008,Jeep,176400.0,Petrol,5.7,4x4,Automatic,4/5,Left wheel,Grey,True,18000,False
FORD,Escape,2008,Jeep,86400.0,Hybrid,2.3,Front,Automatic,4/5,Left wheel,White,False,4800,True
TOYOTA,Camry,2017,Sedan,65000.0,Petrol,2.5,Front,Automatic,4/5,Left wheel,Grey,False,6500,False
FIAT,500L,2014,Hatchback,44000.0,Petrol,1.4,Front,Tiptronic,4/5,Left wheel,White,False,6500,True
FORD,Escape,2009,Jeep,130000.0,Hybrid,2.5,4x4,Automatic,4/5,Left wheel,Black,False,4500,False
DODGE,RAM,2017,Pickup,112000.0,Petrol,5.7,Rear,Automatic,4/5,Left wheel,White,False,8500,False
HONDA,FIT,2010,Hatchback,158000.0,Hybrid,1.3,Front,Automatic,4/5,Right-hand drive,Black,False,2400,False
HYUNDAI,Sonata,2012,Sedan,108000.0,Hybrid,2.4,Front,Automatic,4/5,Left wheel,Silver,True,5700,True
VOLKSWAGEN,Passat,2013,Sedan,88000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Blue,True,4700,False
MERCEDES-BENZ,C 180,2002,Sedan,145000.0,Petrol,1.8,Rear,Manual,4/5,Left wheel,Beige,False,3500,True
MERCEDES-BENZ,S 350 W222,2014,Sedan,222222.0,Diesel,3.0,Rear,Tiptronic,4/5,Left wheel,Black,True,37400,True
HYUNDAI,Elantra,2014,Hatchback,110000.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,White,False,6000,False
HYUNDAI,Sonata,2013,Sedan,124800.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Grey,True,5200,False
HYUNDAI,Sonata,2014,Sedan,148800.0,Petrol,2.4,Front,Tiptronic,4/5,Left wheel,Black,False,5900,False
TOYOTA,Highlander,2009,Jeep,108450.0,Hybrid,3.3,4x4,Variator,4/5,Left wheel,Green,True,9700,False
BMW,328,2011,Sedan,140000.0,Petrol,3.0,4x4,Tiptronic,4/5,Left wheel,Blue,True,3700,False
MERCEDES-BENZ,CLA 250 AMG,2013,Sedan,68000.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,Red,True,11500,False
TOYOTA,Camry,2012,Sedan,102000.0,Hybrid,2.5,Front,Automatic,4/5,Left wheel,Red,True,7500,True
FORD,Focus,2016,Hatchback,26500.0,Petrol,2.0,Front,Automatic,4/5,Left wheel,Grey,True,5900,True
HYUNDAI,Veloster,2015,Hatchback,62000.0,Petrol,1.6,Front,Tiptronic,2/3,Left wheel,Blue,False,3700,False
SUBARU,Impreza Limited,2012,Sedan,120333.0,Petrol,2.0,4x4,Tiptronic,4/5,Left wheel,Silver,True,4500,False
TOYOTA,Land Cruiser Prado,2018,Jeep,23000.0,Diesel,3.0,4x4,Automatic,4/5,Left wheel,Silver,True,43000,True
HONDA,Civic,2016,Sedan,80000.0,Petrol,2.0,Front,Manual,4/5,Left wheel,Grey,False,7900,True
HYUNDAI,Elantra,2012,Sedan,100000.0,Petrol,1.8,Rear,Automatic,4/5,Left wheel,Black,False,4800,True
LEXUS,CT 200h,2013,Hatchback,67000.0,Hybrid,1.8,Front,Automatic,4/5,Left wheel,Beige,True,8800,True
HYUNDAI,Elantra,2013,Sedan,90000.0,Petrol,1.8,Rear,Automatic,4/5,Left wheel,Silver,False,5700,True
HYUNDAI,Elantra,2012,Sedan,109000.0,Petrol,1.8,Front,Automatic,4/5,Left wheel,Silver,False,5200,True
MERCEDES-BENZ,E 350,2014,Sedan,158000.0,Petrol,3.5,Rear,Tiptronic,4/5,Left wheel,White,True,14000,False
TOYOTA,Aqua,2012,Hatchback,125000.0,Hybrid,1.5,Front,Variator,4/5,Right-hand drive,Red,False,3400,False
HONDA,FIT RS,2010,Hatchback,165000.0,Petrol,1.5,Front,Variator,4/5,Right-hand drive,Yellow,False,2700,False
TOYOTA,Aqua,2012,Hatchback,142000.0,Hybrid,1.5,Front,Variator,4/5,Right-hand drive,Silver,False,2900,False
NISSAN,Juke,2011,Jeep,131660.0,Petrol,1.6,Front,Tiptronic,4/5,Left wheel,Red,True,5500,True
HONDA,FIT,2011,Hatchback,123000.0,Hybrid,1.3,Front,Automatic,4/5,Right-hand drive,Green,True,2900,False
TOYOTA,Aqua,2013,Hatchback,103000.0,Hybrid,1.5,Front,Variator,4/5,Right-hand drive,Red,False,2800,False
SUBARU,Forester,2005,Jeep,209450.0,LPG,2.5,4x4,Automatic,4/5,Left wheel,Silver,True,3500,True
TOYOTA,Prius,2007,Sedan,248000.0,Hybrid,1.5,Front,Automatic,4/5,Left wheel,White,False,3029,True
FORD,Transit,2008,Microbus,135000.0,Diesel,2.2,Front,Manual,4/5,Left wheel,White,False,5100,True
FORD,Transit,2004,Microbus,205000.0,Diesel,2.4,Rear,Manual,4/5,Left wheel,White,False,4400,True
BMW,X5,2012,Jeep,186000.0,Petrol,4.4,4x4,Tiptronic,4/5,Left wheel,Black,True,11500,True
MINI,Cooper,2015,Coupe,53900.0,Petrol,1.5,Front,Tiptronic,2/3,Left wheel,White,True,7000,False
TOYOTA,Camry,2010,Sedan,120000.0,Hybrid,2.4,Front,Variator,4/5,Left wheel,Grey,True,6400,True
HYUNDAI,Tucson,2011,Jeep,104000.0,Petrol,2.0,4x4,Automatic,4/5,Left wheel,Brown,True,8300,True
TOYOTA,Land Cruiser Prado,2002,Jeep,110000.0,Diesel,3.0,4x4,Automatic,4/5,Right-hand drive,Silver,False,8300,True
HYUNDAI,IX35,2011,Jeep,104000.0,Petrol,2.0,4x4,Automatic,4/5,Left wheel,Brown,True,8300,True
TOYOTA,Prius,2012,Sedan,117440.0,Hybrid,1.8,Front,Automatic,4/5,Left wheel,Carnelian red,True,7500,True
AUDI,A8,2008,Sedan,265000.0,Diesel,3.0,4x4,Tiptronic,4/5,Left wheel,Black,True,11500,True
TOYOTA,Camry,2007,Sedan,208000.0,Petrol,2.4,Front,Automatic,4/5,Left wheel,Golden,True,5200,True
AUDI,Q7,2007,Jeep,132000.0,Petrol,3.6,4x4,Tiptronic,4/5,Left wheel,Silver,True,8700,True
HYUNDAI,Elantra,2014,Sedan,92800.0,Petrol,1.6,Front,Tiptronic,4/5,Left wheel,Grey,False,4400,False
TOYOTA,Camry hibrid,2018,Sedan,68800.0,Hybrid,2.5,Front,Tiptronic,4/5,Left wheel,Silver,False,17700,False
MERCEDES-BENZ,CLA 250 CLA,2013,Sedan,12000.0,Petrol,2.0,Rear,Automatic,4/5,Left wheel,Silver,True,9000,False
TOYOTA,Prius,2010,Sedan,265000.0,Hybrid,1.5,Front,Automatic,4/5,Left wheel,Golden,False,3300,False
TOYOTA,Corolla,2001,Sedan,138000.0,Petrol,1.5,Front,Automatic,4/5,Right-hand drive,Silver,False,2100,True
HONDA,Insight,2010,Hatchback,209000.0,Petrol,1.3,Front,Automatic,4/5,Left wheel,Black,False,3700,False
HONDA,Elysion 3.0,2004,Minivan,219000.0,Petrol,3.0,Front,Automatic,4/5,Right-hand drive,Black,False,2500,True
MERCEDES-BENZ,Vito Extra Long,2016,Minivan,57000.0,Diesel,1.6,Front,Manual,4/5,Left wheel,Black,False,23000,True
VOLKSWAGEN,Passat se,2015,Sedan,43000.0,Petrol,1.8,Front,Tiptronic,4/5,Left wheel,White,True,8200,False
VOLKSWAGEN,Jetta sel,2013,Sedan,75000.0,Petrol,2.5,Front,Automatic,4/5,Left wheel,Blue,True,6800,True
VOLKSWAGEN,Passat sel,2013,Sedan,60000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Black,True,7200,False
VOLKSWAGEN,Passat sel,2012,Sedan,95000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Carnelian red,True,6300,False
VOLKSWAGEN,Passat sel,2011,Sedan,75000.0,Petrol,2.5,Front,Automatic,4/5,Left wheel,Silver,True,8150,True
VOLKSWAGEN,CC sport,2014,Sedan,139200.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,Black,True,8500,False
VOLKSWAGEN,Passat SE,2012,Sedan,126400.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,White,True,7200,False
BMW,X6,2011,Jeep,164354.0,Petrol,3.0,4x4,Tiptronic,4/5,Left wheel,Black,True,15700,True
BMW,X5,2005,Jeep,196000.0,Petrol,3.0,4x4,Tiptronic,4/5,Left wheel,Brown,True,5500,True
VOLKSWAGEN,Jetta,2014,Sedan,69000.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,Blue,True,3900,False
HONDA,Insight,2010,Sedan,168000.0,Hybrid,1.3,Front,Variator,4/5,Left wheel,Grey,False,2200,False
MINI,Cooper,2015,Sedan,56500.0,Petrol,1.5,Front,Tiptronic,4/5,Left wheel,Blue,True,9300,True
FORD,Fusion,2014,Sedan,133000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Green,False,5800,False
BMW,320,2013,Sedan,105000.0,Petrol,2.0,4x4,Tiptronic,4/5,Left wheel,White,True,9500,True
TOYOTA,Camry sport se,2012,Sedan,100000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Silver,True,7900,False
MERCEDES-BENZ,S 550,2007,Sedan,250000.0,Petrol,5.5,Rear,Tiptronic,4/5,Left wheel,Black,True,11000,True
BMW,528,2012,Sedan,129149.0,Petrol,2.0,4x4,Automatic,4/5,Left wheel,Black,True,8430,False
VOLKSWAGEN,Jetta,2013,Sedan,125000.0,Hybrid,1.4,Front,Automatic,4/5,Left wheel,Grey,True,4340,False
OPEL,Vectra c,2006,Universal,170000.0,Diesel,1.9,Front,Automatic,4/5,Left wheel,Carnelian red,True,3600,True
VOLKSWAGEN,Golf 4,2003,Hatchback,200000.0,LPG,1.6,Front,Manual,4/5,Left wheel,White,False,2200,True
TOYOTA,Prius,2009,Hatchback,15900.0,Hybrid,1.8,Front,Variator,4/5,Left wheel,Red,False,4700,True
TOYOTA,Prius,2007,Hatchback,194000.0,Hybrid,1.5,Front,Variator,4/5,Left wheel,Silver,False,2900,False
BMW,528,2013,Sedan,112000.0,Petrol,2.0,Rear,Tiptronic,4/5,Left wheel,White,True,4800,False
FORD,Transit,2004,Microbus,250000.0,Diesel,2.0,Front,Manual,4/5,Left wheel,Red,False,3500,True
HONDA,FIT,2013,Hatchback,100000.0,Hybrid,1.3,Front,Automatic,4/5,Right-hand drive,Silver,False,3900,True
BMW,X5,2014,Jeep,104000.0,Diesel,3.5,4x4,Automatic,4/5,Left wheel,White,True,26000,True
FORD,Fiesta,2016,Hatchback,16000.0,Petrol,1.6,Front,Tiptronic,4/5,Left wheel,White,False,4200,True
KIA,Picanto,2017,Sedan,78000.0,Petrol,1.2,Front,Manual,4/5,Left wheel,Silver,False,4100,True
TOYOTA,Prius C,2012,Sedan,83200.0,Hybrid,1.5,Front,Automatic,4/5,Left wheel,Grey,True,6100,True
BMW,X5,2004,Jeep,250000.0,CNG,3.0,4x4,Tiptronic,4/5,Left wheel,Black,True,3300,True
TOYOTA,Prius C,2014,Hatchback,66000.0,Hybrid,1.5,Front,Automatic,4/5,Left wheel,Silver,False,5500,False
FIAT,500,2012,Coupe,80000.0,Petrol,1.4,Front,Manual,2/3,Left wheel,Black,False,3900,True
HYUNDAI,Veloster,2012,Hatchback,122000.0,Petrol,1.6,Front,Tiptronic,2/3,Left wheel,Silver,True,6000,True
HYUNDAI,Elantra,2014,Sedan,110000.0,Petrol,1.8,Front,Tiptronic,4/5,Left wheel,Grey,False,5200,False
BMW,X5,2015,Jeep,160000.0,Diesel,3.0,4x4,Automatic,4/5,Left wheel,Black,True,30000,False
FORD,Fusion TITANIUM,2017,Sedan,48000.0,Plug-in Hybrid,2.0,Front,Automatic,4/5,Left wheel,White,True,11999,True
TOYOTA,Camry SE,2017,Sedan,50000.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,Black,True,7700,False
MERCEDES-BENZ,CLS 550 550,2010,Sedan,150121.0,Petrol,5.5,Rear,Tiptronic,4/5,Left wheel,Black,True,5900,False
VOLKSWAGEN,Passat SE,2013,Sedan,125499.0,Petrol,2.5,Front,Tiptronic,4/5,Left wheel,White,True,3800,False
VOLKSWAGEN,Tiguan,2016,Jeep,69012.0,Petrol,2.0,Front,Tiptronic,4/5,Left wheel,Blue,True,5000,False
